PHCoreImplementationGuide
=========================================

/home/runner/work/ph-core/ph-core/fsh-generated/resources/ActorDefinition-Consumer.json: line 1, col 1311, Info - Reference to deprecated ValueSet http://hl7.org/fhir/5.0/ValueSet/jurisdiction|5.0.0 (BUSINESSRULE)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/ActorDefinition-Creator.json: line 1, col 1287, Info - Reference to deprecated ValueSet http://hl7.org/fhir/5.0/ValueSet/jurisdiction|5.0.0 (BUSINESSRULE)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/ActorDefinition-Server.json: line 1, col 1297, Info - Reference to deprecated ValueSet http://hl7.org/fhir/5.0/ValueSet/jurisdiction|5.0.0 (BUSINESSRULE)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/Bundle-transaction-example.json: line 310, col 14, Info - This element does not match any known slice defined in the profile http://doh.gov.ph/fhir/ph-core/StructureDefinition/ph-core-observation|0.2.0 (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/Bundle-transaction-example.json: line 339, col 14, Info - This element does not match any known slice defined in the profile http://doh.gov.ph/fhir/ph-core/StructureDefinition/ph-core-observation|0.2.0 (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/CodeSystem-PHFDACPRCS.json: line 1, col 7492, Info - This property has only a code ('productInfo') and not a URI, so it has no clearly defined meaning in the terminology ecosystem (BUSINESSRULE)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/CodeSystem-PHFDACPRCS.json: line 1, col 7492, Info - This property has only a code ('genericName') and not a URI, so it has no clearly defined meaning in the terminology ecosystem (BUSINESSRULE)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/CodeSystem-PHFDACPRCS.json: line 1, col 7492, Info - This property has only a code ('dosageStrength') and not a URI, so it has no clearly defined meaning in the terminology ecosystem (BUSINESSRULE)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/CodeSystem-PHFDACPRCS.json: line 1, col 7492, Info - This property has only a code ('dosageForm') and not a URI, so it has no clearly defined meaning in the terminology ecosystem (BUSINESSRULE)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/CodeSystem-PHFDACPRCS.json: line 1, col 7492, Info - This property has only a code ('classification') and not a URI, so it has no clearly defined meaning in the terminology ecosystem (BUSINESSRULE)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/CodeSystem-PHFDACPRCS.json: line 1, col 7492, Info - This property has only a code ('packaging') and not a URI, so it has no clearly defined meaning in the terminology ecosystem (BUSINESSRULE)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/CodeSystem-PHFDACPRCS.json: line 1, col 7492, Info - This property has only a code ('pharmacologicCategory') and not a URI, so it has no clearly defined meaning in the terminology ecosystem (BUSINESSRULE)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/CodeSystem-PHFDACPRCS.json: line 1, col 7492, Info - This property has only a code ('manufacturer') and not a URI, so it has no clearly defined meaning in the terminology ecosystem (BUSINESSRULE)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/CodeSystem-PHFDACPRCS.json: line 1, col 7492, Info - This property has only a code ('countryOfOrigin') and not a URI, so it has no clearly defined meaning in the terminology ecosystem (BUSINESSRULE)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/CodeSystem-PHFDACPRCS.json: line 1, col 7492, Info - This property has only a code ('trader') and not a URI, so it has no clearly defined meaning in the terminology ecosystem (BUSINESSRULE)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/CodeSystem-PHFDACPRCS.json: line 1, col 7492, Info - This property has only a code ('importer') and not a URI, so it has no clearly defined meaning in the terminology ecosystem (BUSINESSRULE)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/CodeSystem-PHFDACPRCS.json: line 1, col 7492, Info - This property has only a code ('distributor') and not a URI, so it has no clearly defined meaning in the terminology ecosystem (BUSINESSRULE)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/CodeSystem-PHFDACPRCS.json: line 1, col 7492, Info - This property has only a code ('applicationType') and not a URI, so it has no clearly defined meaning in the terminology ecosystem (BUSINESSRULE)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/CodeSystem-PHFDACPRCS.json: line 1, col 7492, Info - This property has only a code ('issuanceDate') and not a URI, so it has no clearly defined meaning in the terminology ecosystem (BUSINESSRULE)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/CodeSystem-PHFDACPRCS.json: line 1, col 7492, Info - This property has only a code ('expiryDate') and not a URI, so it has no clearly defined meaning in the terminology ecosystem (BUSINESSRULE)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/Observation-blood-pressure.json: line 86, col 8, Info - This element does not match any known slice defined in the profile http://doh.gov.ph/fhir/ph-core/StructureDefinition/ph-core-observation|0.2.0 (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/Observation-blood-pressure.json: line 115, col 8, Info - This element does not match any known slice defined in the profile http://doh.gov.ph/fhir/ph-core/StructureDefinition/ph-core-observation|0.2.0 (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/Observation-observation-single-example.json: line 86, col 8, Info - This element does not match any known slice defined in the profile http://doh.gov.ph/fhir/ph-core/StructureDefinition/ph-core-observation|0.2.0 (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/Observation-observation-single-example.json: line 115, col 8, Info - This element does not match any known slice defined in the profile http://doh.gov.ph/fhir/ph-core/StructureDefinition/ph-core-observation|0.2.0 (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/Organization-organization-single-example.json: line 26, col 6, Info - This element does not match any known slice defined in the profile http://doh.gov.ph/fhir/ph-core/StructureDefinition/ph-core-organization|0.2.0 (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/Organization-organization-single-example.json: line 27, col 53, Warning - No definition could be found for URL value 'http://my-hospital.org/internal-id' (INVALID)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/Patient-patient-single-example.json: line 85, col 8, Warning - A definition for CodeSystem 'https://psa.gov.ph/classification/psced/level' could not be found, so the code cannot be validated (NOTFOUND)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/Patient-patient-single-example.json: line 99, col 12, Warning - A definition for CodeSystem 'https://psa.gov.ph/classification/psoc/unit' could not be found, so the code cannot be validated (NOTFOUND)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/StructureDefinition-ph-core-condition.json: line 1, col 107272, Info - This element does not match any known slice defined in the profile http://hl7.org/fhir/StructureDefinition/obligation|5.2.0 (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/StructureDefinition-ph-core-condition.json: line 1, col 107646, Info - This element does not match any known slice defined in the profile http://hl7.org/fhir/StructureDefinition/obligation|5.2.0 (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/StructureDefinition-ph-core-condition.json: line 1, col 108027, Info - This element does not match any known slice defined in the profile http://hl7.org/fhir/StructureDefinition/obligation|5.2.0 (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/StructureDefinition-ph-core-condition.json: line 1, col 112500, Info - This element does not match any known slice defined in the profile http://hl7.org/fhir/StructureDefinition/obligation|5.2.0 (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/StructureDefinition-ph-core-condition.json: line 1, col 112874, Info - This element does not match any known slice defined in the profile http://hl7.org/fhir/StructureDefinition/obligation|5.2.0 (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/StructureDefinition-ph-core-condition.json: line 1, col 113255, Info - This element does not match any known slice defined in the profile http://hl7.org/fhir/StructureDefinition/obligation|5.2.0 (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
/home/runner/work/ph-core/ph-core/fsh-generated/resources/StructureDefinition-ph-core-condition.json: line 1, col 115009, Info - This element does not match any known slice defined in the profile http://hl7.org/fhir/StructureDefinition/obligation|5.2.0 (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
